Kitchen and dining room,ห้องครัวและห้องอาหาร
Tv cabinet,ตู้ทีวี
Shoe cabinet,ตู้รองเท้า
About us,เกี่ยวกับ
Store,ร้านค้า
Office,สำนักงาน
mattress,เบ็ดเตล็ด
Privacy Policy | Terms of use,นโยบายความเป็นส่วนตัว | ข้อตกลงในการใช้งาน
help,ช่วย
How To Order,วิธีการสั่งซื้อ
Payment Methods,ช่องทางการชำระเงิน
contact list,รายชื่อผู้ติดต่อ
payment procedure,ขั้นตอนการชำระเงิน
go back,กลับ
for wholesalers,สำหรับผู้ค้าส่ง
Requirements,ข้อกำหนด
operating rules,กฎการดำเนินงาน
Contact Us,ติดต่อเรา
website menu,เมนูเว็บไซต์
House,บ้าน
Article,บทความ
Tax invoice,ใบกำกับภาษี
Payment invoice,ใบแจ้งการชำระเงิน
Order Cancellation and Return Policy,การยกเลิกคำสั่งซื้อและนโยบายการคืนสินค้า
Latest product,สินค้าล่าสุด
1364-68 Sukhumvit Road,1364-68 ถนนสุขุมวิท
Near Soi 76 (same side as Imperial Samrong),ใกล้ซอย 76 (ฝั่งเดียวกับอิมพีเรียลสำโรง) 
Samut Prakan Province 10270,จังหวัดสมุทรปราการ 10270
Thailand,ประเทศไทย
Need help?,ต้องการความช่วยเหลือ?
Contact,ติดต่อ
Hotline,สายด่วน
Register,ลงทะเบียน
Customer Registration,การลงทะเบียนลูกค้า
Show Password,แสดงรหัสผ่าน
Product Details,รายละเอียดสินค้า
More Information,ข้อมูลเพิ่มเติม
RELATED PRODUCTS,สินค้าที่เกี่ยวข้อง
Menu,เมนู
Account,บัญชี
Our Article,บทความของเรา
Email ID,ชื่ออีเมล์
Customers Login,ลูกค้าเข้าสู่ระบบ
Last Name,นามสกุล
First Name,ชื่อจริง
Sign Up,ลงชื่อ
Price - Low To High,ราคา - ต่ำไปสูง
Price - High To Low,ราคา - สูงไปต่ำ
  Items,  รายการ
Category,หมวดหมู่
Customer Login,ลูกค้าเข้าสู่ระบบ
First Name,ชื่อจริง
Last Name,นามสกุล
Newley added product,Newley เพิ่มผลิตภัณฑ์
Reach out to one excellent,เอื้อมมือออกไปหนึ่งดีเลอเลิศ
Filter,กรอง
Related Product,สินค้าที่เกี่ยวข้อง
Sub Category,หมวดหมู่ย่อย
My Account,บัญชีของฉัน
Stored Payment Methods,วิธีการชำระเงินที่เก็บไว้
Billing Agreements,ข้อตกลงการเรียกเก็บเงิน
Reorder,จัดลำดับใหม่
Send Message,ส่งข้อความ
Condominium,คอนโดมิเนียม
Apartment,อพาร์ทเม้น
Interior,ตกแต่งภายใน
Flash sales,แฟลชเซลล์
Promotions,โปรโมชั่น
Best Sellers,ขายดี
How To Buy,วิธีการซื้อ
Payment Option,ตัวเลือกการชำระเงิน
Furniture Set,ชุดเฟอร์นิเจอร์
Buy from other platform,ซื้อจากแพลตฟอร์มอื่น
Flash Sales,แฟลชเซลล์
About Us,เกี่ยวกับ
WEBSITE MENU,เมนูเว็บไซต์
HELP,ช่วย
HOTLINE,สายด่วน
Request a tax invoice,ขอใบกำกับภาษี
Name,ชื่อ
Company name/shop name,ชื่อบริษัท/ชื่อร้าน
Tax Identification Number,หมายเลขประจำตัวผู้เสียภาษี
Address,ที่อยู่
Receipt Number,เลขที่ใบเสร็จ
Email,อีเมล
Note,บันทึก
Send Information,ส่งข้อมูล
need a tax invoice Please fill out your information completely,ต้องการใบกำกับภาษี กรุณากรอกข้อมูลให้ครบถ้วน
Phone,โทรศัพท์
Transfer Date,วันที่โอน
Purchase Order Number,เลขที่ใบสั่งซื้อ
Transfer Proof Image,โอนภาพหลักฐาน
payslip,ใบแจ้งการชำระเงิน
Tax Invoice,ใบกำกับภาษี
Payment,วิธีการสั่งซื้อ